,geometry,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg,element_type,highway,nodes,lanes,maxspeed,name,oneway_no,oneway_yes
50,"LINESTRING (-122.47245295470996 37.72554991520805, -122.47243380509204 37.725443451083336, -122.47251958232155 37.725118965227324, -122.47257011396296 37.72481005789757)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,residential,"[65332985, 65358686]",nan,25,Junipero Serra Boulevard,1,0
50,"LINESTRING (-122.47245295470996 37.72554991520805, -122.47243380509204 37.725443451083336, -122.47251958232155 37.725118965227324, -122.47257011396296 37.72481005789757)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,residential,"[65358686, 65332985]",nan,25,Junipero Serra Boulevard,1,0
52,"LINESTRING (-122.47255891465035 37.72299349109428, -122.47267104980284 37.722029391612104, -122.47263453432359 37.72156885866134)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,tertiary,"[65358701, 258972095]",nan,25,Holloway Avenue,1,0
52,"LINESTRING (-122.47255891465035 37.72299349109428, -122.47267104980284 37.722029391612104, -122.47263453432359 37.72156885866134)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,tertiary,"[258972095, 65358701]",nan,25,Holloway Avenue,1,0
52,"LINESTRING (-122.47255891465035 37.72299349109428, -122.47267104980284 37.722029391612104, -122.47263453432359 37.72156885866134)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,residential,"[65358701, 65358686]",nan,25,Junipero Serra Boulevard,1,0
52,"LINESTRING (-122.47255891465035 37.72299349109428, -122.47267104980284 37.722029391612104, -122.47263453432359 37.72156885866134)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,residential,"[65358686, 65358701]",nan,25,Junipero Serra Boulevard,1,0
53,"LINESTRING (-122.46856109909504 37.74150334575455, -122.46867168934638 37.74148773895514, -122.46903011416609 37.74147206091875)",25,ULLOA ST,53.5,13.5,25.18,28.36,32.37,way,residential,"[4044866184, 65353303]",nan,25,Ulloa Street,1,0
53,"LINESTRING (-122.46856109909504 37.74150334575455, -122.46867168934638 37.74148773895514, -122.46903011416609 37.74147206091875)",25,ULLOA ST,53.5,13.5,25.18,28.36,32.37,way,residential,"[65353303, 4044866184]",nan,25,Ulloa Street,1,0
53,"LINESTRING (-122.46856109909504 37.74150334575455, -122.46867168934638 37.74148773895514, -122.46903011416609 37.74147206091875)",25,ULLOA ST,53.5,13.5,25.18,28.36,32.37,way,residential,"[65353303, 65365901]",nan,25,Forest Side Avenue,1,0
53,"LINESTRING (-122.46856109909504 37.74150334575455, -122.46867168934638 37.74148773895514, -122.46903011416609 37.74147206091875)",25,ULLOA ST,53.5,13.5,25.18,28.36,32.37,way,residential,"[65365901, 65353303]",nan,25,Forest Side Avenue,1,0
54,"LINESTRING (-122.41405376455539 37.78279444601821, -122.4156938720626 37.78258503321158)",25,TURK ST,34.0,7.0,23.45,28.32,33.43,way,secondary,"[65308268, 65362154]",2,20,Leavenworth Street,0,1
